,text,class,embedding
174,Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,1,"[ 0.23009011  0.13059503 -0.03139423  0.06189015 -0.01217359  0.10674347
  0.01948394  0.08512219 -0.13914442  0.07273177  0.10346001  0.16355355
  0.09249449  0.08196263  0.02005699  0.12415201 -0.03518879  0.04971656
 -0.20853077 -0.08803394  0.12316078 -0.16219061 -0.21100886  0.04401697
 -0.22798373 -0.05111048 -0.03317535 -0.07483814 -0.08970664 -0.09100764
 -0.07942259  0.05569494 -0.08326363  0.11287673 -0.16256231 -0.08221044
  0.11715142  0.16144717  0.00339381  0.14348106  0.06591704  0.12811695
 -0.14013565 -0.01897283  0.01589071  0.15711053 -0.11919584  0.0069154
  0.046557    0.06901464  0.14261373 -0.16380136 -0.08809589 -0.07006782
  0.03583929 -0.07297957  0.04494625  0.45646307  0.01756342  0.22277975
  0.11560262 -0.13022332 -0.05835888 -0.14930456]"
175,The company is well positioned in Brazil and Uruguay .,2,"[ 0.05844472  0.41263057 -0.0073521   0.00282838  0.00684899 -0.04264977
 -0.09808432  0.07379999 -0.01850073  0.13988853  0.00360418  0.05042887
 -0.11472483 -0.05678744 -0.03554711  0.15084692 -0.0010078   0.01087383
 -0.1331241  -0.05049651  0.08901998 -0.05161265 -0.09740788 -0.00223226
 -0.13035067  0.05381108 -0.04339385  0.09219926  0.00934338 -0.12013638
 -0.1953569   0.12561557  0.04373208  0.13495049 -0.19698037  0.04386736
 -0.06219899 -0.09524326 -0.01922791 -0.14286488  0.15328211 -0.2230911
 -0.05918881  0.2889767   0.20807405 -0.14137671 -0.05956086 -0.11668652
 -0.01667433 -0.07413822 -0.17371071  0.08299962 -0.09767845  0.00510292
  0.05864766  0.20712703  0.09571677  0.22972024 -0.08658478  0.20036259
 -0.16586397  0.16451109  0.08739651  0.03767791]"
176,"`` Neste Oil has responded to the challenge posed by the European Union 's target of biofuels accounting for 5.8 % of traffic fuel usage in the EU by 2010 by developing its NExBTL technology for producing diesel fuel from renewables , '' the federation said .",2,"[-0.013884    0.12752195 -0.03122387  0.0603051  -0.20693807 -0.09393081
 -0.04216173  0.19463514 -0.01535274 -0.01540458  0.25407627 -0.09026758
 -0.013668   -0.05522496 -0.15606752  0.04986834  0.00664393 -0.13588519
  0.10187933  0.08418523 -0.02258417 -0.01117113 -0.0738867   0.11266167
 -0.00539981  0.00894209  0.0526676   0.07513082 -0.3245762   0.24412334
  0.25490567  0.18122633 -0.12987196 -0.00607371  0.03042902  0.07803376
  0.06828818 -0.03060181  0.03486982  0.13457195  0.24370862 -0.01581929
 -0.19021162 -0.01676965 -0.07077641  0.16090575 -0.08273375 -0.08978375
  0.1242043   0.00490303 -0.04278379  0.00939135 -0.03898232  0.05881907
 -0.01403087  0.0571948   0.07983082  0.25601155  0.078172    0.01099834
  0.06386466 -0.01213014  0.39701146  0.0418507 ]"
177,Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,0,"[-0.0912681  -0.01098029 -0.0213142  -0.07691858  0.07510873 -0.09042781
 -0.11893293  0.2763898  -0.10173937 -0.13379954  0.18344111 -0.0657363
 -0.25014699 -0.02208985 -0.16430843 -0.00492053 -0.04463217 -0.05752734
  0.08693738  0.12313436  0.03803915 -0.17865794 -0.12701261  0.09579272
 -0.07497946  0.04860737 -0.02511165  0.04540781 -0.03335293 -0.02966859
 -0.10923731  0.00648395 -0.34516406  0.10083444  0.04004291  0.06541311
  0.08344696 -0.21731115 -0.01455151  0.10193328  0.16120583  0.21058885
 -0.15267368 -0.02798802  0.16262786 -0.08002118 -0.10322603 -0.06227819
  0.00984913  0.01521404 -0.16417915 -0.06205196  0.0131618  -0.08997534
 -0.03396699 -0.00298544 -0.07084266  0.42712435 -0.04501999 -0.16766958
 -0.08105538 -0.0472823   0.03218946  0.05817372]"
178,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",1,"[-0.12723208  0.00252906 -0.02491546  0.03309419  0.12340655 -0.06846392
 -0.0705086   0.27886845  0.05302986 -0.0105532  -0.03621068 -0.11146823
 -0.18982578  0.0897682  -0.1655534  -0.04356495 -0.01146012 -0.08554692
 -0.06813413  0.02893887  0.09715545 -0.12004271  0.0226729  -0.04297133
 -0.05556922  0.01152608 -0.12822144  0.02461865  0.02468461  0.15856191
  0.01982024  0.09062565 -0.05857029  0.13996189  0.23665563 -0.06951924
  0.18626407 -0.20605133 -0.08416181 -0.08482139  0.05504156  0.13085975
 -0.15684701  0.14906402  0.01705002 -0.11014908 -0.0722235   0.10454268
  0.06866179 -0.12261505 -0.01382635  0.10315758 -0.05738305 -0.05820753
 -0.03358887  0.08877884 -0.0263995   0.56143053  0.00133049  0.04188303
 -0.15104275 -0.07116818  0.12149377  0.13494911]"
179,"After piloting , the instrument will be further developed according to the experiences gained .",1,"[-0.18656641 -0.0305459  -0.02670638 -0.13519634  0.0056978  -0.09623377
 -0.08677683  0.26797172 -0.13269972  0.05602288  0.02315058 -0.13557462
 -0.14987351  0.00672861  0.02695227  0.13807125 -0.08828994  0.16099486
 -0.11204577 -0.05976783  0.09335887 -0.18384281 -0.32259496  0.11068397
 -0.03260751 -0.04289666  0.01032697  0.07966522 -0.09767122 -0.06498806
 -0.08064874  0.10137835 -0.06112963  0.10130269  0.1007731  -0.11423977
  0.02021893 -0.06771165  0.0062794  -0.07584462  0.14783082  0.13837388
  0.09282927  0.15448849 -0.23301887 -0.13126226 -0.11234839 -0.18096791
 -0.00399556 -0.17461284 -0.09229968  0.1476795   0.08594463  0.09411542
 -0.0545476   0.08496111  0.11015438  0.30700993  0.09207272 -0.15093268
  0.101454   -0.12362105 -0.16750123 -0.09577984]"
180,"`` Our customers now have the chance to make bookings for all the services they want at one location , '' said Mikko Tuomainen , in-charge of Finnair 's Internet ( sales ) .",2,"[-6.01782942e-04  8.49012723e-02 -1.81753963e-02 -1.93634473e-01
 -1.97890173e-01  9.15685394e-02 -3.99681415e-02  1.95904177e-01
 -7.90142122e-02 -1.88953202e-01  1.82144071e-01  1.74927109e-02
 -1.35118561e-01 -1.07740203e-01 -2.09664283e-01 -3.47371723e-02
 -1.22138667e-01 -1.42566041e-01 -1.05257714e-01  1.31288424e-01
  3.33895344e-02  7.80921463e-02  1.28557683e-02 -8.88023318e-02
 -4.22023843e-02 -6.75592807e-02 -2.39454199e-01  4.50395189e-02
 -1.53293952e-02 -1.23415373e-01  6.90221805e-03  1.61574854e-01
 -7.94397841e-02 -2.21296530e-01  1.05186782e-01  6.26297575e-02
  1.38878323e-05  1.28025723e-01  2.74776531e-01  2.30800937e-01
 -1.96046041e-01  1.37317343e-01 -2.38851303e-02  6.30907905e-02
 -1.47956592e-01 -1.72621944e-02 -1.76753520e-01  7.46875808e-02
 -1.64695701e-01 -1.50084451e-01 -6.05728347e-02  7.73119343e-02
 -3.96844285e-02 -1.94875718e-02  3.73792563e-02  2.06543436e-01
 -2.78571216e-02  1.39161475e-01 -5.41183536e-02 -2.00585449e-01
  6.17786185e-02  4.33372410e-02  1.40012619e-01  2.52327706e-02]"
181,"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",2,"[-0.03450767  0.21265799 -0.03749276 -0.12047833  0.04420922  0.10340361
 -0.13850829 -0.01052991 -0.16609056  0.16047857  0.09462743 -0.14543371
 -0.10388122  0.13623963 -0.24453878  0.07319447 -0.13659784  0.02447776
 -0.01726876 -0.01173141  0.11391113 -0.154986    0.03334348 -0.03728381
 -0.03089571  0.0709258   0.10232897 -0.00355972 -0.12358283  0.09850805
 -0.03814948  0.17337418  0.16131441 -0.02126878  0.08859755 -0.05456749
 -0.05991081  0.12185148 -0.06423919  0.04149279 -0.12334402 -0.02465686
  0.09146324  0.14435908  0.19032951  0.04403011 -0.06925415 -0.09468714
  0.08811993 -0.00213434 -0.13600082  0.08698559  0.17576224  0.20226987
  0.01656726  0.11767235 -0.03152258  0.50722693  0.07988108 -0.09862746
  0.00630974  0.03253751  0.18280707 -0.09176174]"
182,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",0,"[ 5.13856732e-02  7.19578598e-02  1.83925481e-02 -5.80738713e-02
  2.24681693e-02 -7.30924651e-02 -3.65163741e-02  2.54390431e-01
 -1.18894689e-01  2.80618851e-04  1.39496732e-01 -9.23210346e-02
 -1.84880937e-01  2.08170205e-01 -2.04348370e-01 -1.36869219e-01
 -1.29225567e-01 -1.11892980e-02  8.06764006e-02 -9.17388071e-03
 -9.52471279e-02 -7.07262159e-03 -6.70014238e-02  5.48193499e-02
 -1.48454141e-01  4.11443687e-02 -9.20224540e-02  2.81561242e-02
  4.34434357e-02 -3.86960115e-02 -1.63502578e-01 -6.48292504e-03
 -8.80214812e-02  7.17787088e-02  2.87234269e-02  4.89970329e-02
  8.64091443e-02 -5.43416183e-02  3.90244483e-02  2.24293539e-01
  2.58690002e-01  1.34600009e-01 -1.93838355e-01  9.29181958e-02
  7.64962812e-02 -2.36117320e-01 -7.88849259e-02 -6.47919301e-02
 -3.65462326e-02 -1.00442423e-01 -4.90866062e-02  1.08265222e-01
 -2.86487818e-02  8.74840371e-03 -9.63220163e-02  1.53350855e-01
 -3.77704123e-03  3.45636577e-01 -2.42447225e-02  7.36896263e-02
 -1.72101702e-01  9.95466813e-02  3.37754057e-01 -1.15192288e-01]"
183,The original contract was signed last summer .,1,"[-0.03929241 -0.05624328  0.02988437  0.0671066  -0.15421809 -0.1006804
  0.16044914  0.44404317  0.12970389  0.22530108  0.21152721 -0.05517745
 -0.04341227  0.0011728  -0.19119435  0.01591578 -0.14560943  0.00436582
 -0.15044668  0.00079938  0.16331868 -0.00311039  0.05132404 -0.01733006
 -0.00070458  0.0055034  -0.05476751  0.09748289  0.09961456  0.11420829
 -0.05062715  0.14355974  0.02662537  0.14290385  0.25006124 -0.02818313
  0.00560588  0.06927926 -0.23300787  0.02273098 -0.02254651 -0.02467817
  0.00362025 -0.02121421  0.00561101  0.14224795 -0.0741985  -0.03683279
 -0.03800111  0.00170892  0.10510771 -0.0335533   0.06747554  0.14626532
 -0.03384025  0.26711459 -0.13978833  0.17824037 -0.15249637  0.17496088
 -0.23415571 -0.00815774  0.03494708 -0.02619494]"
184,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,2,"[-0.10505949  0.08591313  0.0268084   0.09103285 -0.10604135 -0.11789385
 -0.18388917  0.13381409 -0.16481294  0.17827851  0.05189854 -0.04982962
 -0.23382399 -0.02014575 -0.05088161  0.01115994 -0.23733064 -0.03278726
  0.27716628 -0.00409841 -0.09271605 -0.22540799 -0.08408967 -0.07588409
 -0.0695721  -0.07518276 -0.12848396 -0.04523589 -0.14075727  0.16691695
  0.0564572   0.05274014 -0.19777553 -0.09825657 -0.07469183 -0.03611858
  0.19104274 -0.11214294 -0.0429215   0.09019126 -0.04295657  0.08570273
  0.0156397   0.09671364  0.25290021 -0.11971732 -0.01862036 -0.06091066
 -0.23985545 -0.04733989 -0.05186348 -0.1435626  -0.01187004 -0.00410717
 -0.16284922  0.11557946 -0.12757223  0.2892292   0.08465074  0.16663641
  0.09453951  0.03180539 -0.0008279   0.0295436 ]"
185,"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''",1,"[ 0.10651092 -0.00936222 -0.03578153  0.03171318  0.05022086  0.06569396
 -0.1706042   0.08043342 -0.32173367  0.09270518  0.04555226  0.21302183
 -0.05525629  0.03421421 -0.2039514   0.04898702  0.11691524  0.04701953
  0.08070019 -0.14819489  0.06412664 -0.0574572  -0.15353045 -0.16393477
 -0.06602743 -0.05709038  0.01725717 -0.06772814 -0.05592323  0.15246335
  0.21675672  0.01189661 -0.29665657  0.17767381 -0.07516456 -0.00551479
  0.05725712  0.12698609 -0.04088365 -0.14085852  0.10604405 -0.20728612
 -0.13385561 -0.02459355 -0.13505611  0.07736548 -0.17207149  0.08436839
  0.06896198  0.03504789  0.08710285 -0.08576896 -0.09770726  0.06175899
  0.00167465  0.0782992  -0.0699624   0.38495993  0.19047913 -0.01602332
  0.01489786  0.10777811 -0.01107127  0.07749887]"
186,"In this way , the industry 's starting point has been the consumers ' needs .",1,"[ 0.13758516 -0.09255291 -0.03263032 -0.09608485 -0.2653772  -0.25253379
 -0.0844455   0.12313631  0.01822161 -0.14408714  0.17178078  0.01445888
 -0.11157723 -0.16969372 -0.11205886  0.01274308 -0.08191695  0.04170099
  0.13517702  0.08175641  0.16078359 -0.04856419 -0.05952124  0.09383725
 -0.03192795  0.07605714  0.10724258  0.00135458 -0.26457449  0.10459362
 -0.04715944  0.18895884 -0.04976826 -0.17467053 -0.03471738  0.11856084
 -0.07718094 -0.04764107 -0.07376941  0.24755695  0.10210521  0.10395145
  0.05562807  0.1456123  -0.07469253 -0.06843136  0.12851449 -0.21095321
  0.06863204 -0.31530601  0.06289263 -0.10379091 -0.01997754 -0.03393473
 -0.18622963  0.01787042  0.02723207  0.03024225  0.08926178  0.0447513
 -0.20934777 -0.17017534  0.09648621  0.02568684]"
187,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",2,"[-0.00198336  0.09498544  0.01268272 -0.11022012  0.07931902 -0.15481393
 -0.08943435  0.24893588 -0.07716025 -0.16061176  0.21871324 -0.08832413
 -0.14506868  0.01703878  0.04431626 -0.06901864 -0.20674753 -0.13347305
 -0.069142   -0.05520258 -0.11626466 -0.12989568 -0.09387522 -0.06722996
 -0.01205051 -0.01191944 -0.11416757  0.01060876 -0.02297538  0.04135568
 -0.0942453  -0.09332012 -0.17183731  0.07308945  0.07086901  0.04076973
  0.08943435 -0.1543205   0.24116434  0.09455369  0.12755188  0.18923074
 -0.25855779  0.24375486  0.15728109 -0.08690552 -0.14469861 -0.06618142
 -0.07530989 -0.07475478 -0.08610369  0.06895697  0.03783998 -0.06180222
 -0.0347252   0.05563433  0.03417009  0.41102793 -0.16492927  0.05335221
  0.02567383  0.01270585  0.05788561  0.06229565]"
188,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,0,"[ 0.0381876   0.05514186 -0.02369706 -0.20902686 -0.1716821  -0.10263322
 -0.12513084  0.24974299 -0.28890311  0.04765345  0.05365066 -0.12526051
 -0.18024027  0.02048774 -0.24105516 -0.02909454 -0.04473589  0.03322775
  0.08791576 -0.0649643   0.23132996 -0.02259487 -0.1430252  -0.02800856
 -0.05585504  0.01747293 -0.06937306  0.02194652 -0.12370448 -0.00508952
  0.02406986  0.09932665 -0.05721656  0.16091955  0.03546454 -0.06885438
  0.08266416 -0.05997204  0.17920293  0.07592135  0.09063881  0.14911965
 -0.15028669  0.1231858   0.06425112  0.01475798 -0.20202471 -0.04152658
 -0.07462466 -0.06344069  0.07890375  0.04444414  0.09251902  0.06353794
  0.02765197  0.00401164  0.22536517  0.37785625  0.07883891  0.12331547
 -0.12856707 -0.1297341   0.17323814 -0.06425112]"
189,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",2,"[-0.01971123  0.17712342 -0.02637418 -0.11582428  0.0421154   0.15013846
 -0.15391414  0.26296441 -0.17279249 -0.05655179  0.11032734 -0.04039413
 -0.21454698  0.03273174 -0.12570765 -0.01438087 -0.17057151 -0.19666806
  0.08278715 -0.05216534 -0.10860608 -0.04258736 -0.10038844  0.02425036
 -0.09428074 -0.02862292 -0.08273162 -0.00703427 -0.031066   -0.06729579
  0.00573291  0.08217638 -0.12048834  0.11288147  0.1642417   0.23231485
  0.10716244 -0.16268702  0.17157095  0.04650184  0.21465802  0.12093253
  0.00244135  0.17201515  0.07695707 -0.09294815 -0.21699007  0.08728464
 -0.13503578 -0.12859493 -0.00730842  0.01389503 -0.07057175 -0.0196557
  0.0404219   0.09255948  0.03350909  0.43131495 -0.03808986 -0.02100217
  0.00672888  0.10327572  0.09106031 -0.02332032]"
190,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",2,"[ 0.10477572 -0.06173691 -0.0580858   0.03678767 -0.04591544  0.04821121
 -0.23167936  0.2281389  -0.10040545 -0.09918842  0.22249627 -0.02512902
 -0.1161716  -0.14338894 -0.1630828  -0.18974694 -0.1555593  -0.0353217
  0.00997831  0.08281375 -0.20590032 -0.16164448 -0.1100311   0.11191197
 -0.02907056 -0.08292439 -0.27682033 -0.02472795  0.08314567  0.01474273
 -0.00793148  0.03551532 -0.16706582  0.06289862  0.0249354   0.13132922
  0.07346471 -0.10599275  0.1619764  -0.06715825  0.17381484  0.11871631
 -0.06555397  0.13276754  0.05216658 -0.17580635 -0.11301837  0.15921041
 -0.20689608 -0.06361778  0.05197296 -0.02965142  0.0530517   0.0530517
  0.11229921  0.03120037  0.08386483  0.37484701 -0.04826653  0.02624925
 -0.00179271  0.01366399  0.07855413  0.15157628]"
191,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,2,"[ 0.10696801  0.03745404 -0.05860384 -0.11428206  0.10782131  0.13616326
 -0.1986984   0.1275083  -0.07344527  0.15347318  0.36058275 -0.14189259
 -0.04821179 -0.16590708 -0.06808163  0.10776036 -0.13287194 -0.07960126
 -0.12116946 -0.01387384  0.13287194 -0.07338432  0.08197833  0.05851241
  0.20503725 -0.10044631 -0.05077171  0.07125105  0.07064155 -0.08642771
  0.01372147  0.07990602  0.00784737  0.25379759  0.09099899 -0.04519474
  0.15115707  0.09685023  0.15786162  0.10757751 -0.00612933 -0.04845559
  0.01198438  0.1429897   0.10483474  0.17188021 -0.28305381  0.07941841
 -0.00238278 -0.06594837  0.0849649   0.04501189  0.02378591 -0.16700419
 -0.09544838  0.11166119 -0.14701243  0.05960952  0.20479345  0.11562297
 -0.08405064 -0.14823144  0.14579342 -0.14433061]"
192,"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",2,"[ 0.02276705 -0.03518391 -0.00785505 -0.06929247 -0.02259902 -0.0253882
 -0.06384854  0.24490956 -0.07802964  0.06401656  0.16210809 -0.13912261
 -0.04499642  0.00782565 -0.27851406  0.01219003  0.04818885 -0.09147143
 -0.11291111  0.09550397 -0.12070735 -0.00712415 -0.14839745 -0.13488844
 -0.04190481 -0.07695429 -0.11546505  0.02295187  0.03093294  0.00720396
  0.00911522  0.11499458 -0.26117414  0.19262096  0.06532714  0.00399473
  0.12010246 -0.19530932  0.17850707 -0.08380961  0.10524928  0.00271986
 -0.05813578  0.23052683  0.07305617 -0.07144316 -0.12319408 -0.12272361
 -0.03247874 -0.15337091  0.09180748  0.11082763 -0.00630924  0.00452821
  0.02646354  0.044862    0.30351582  0.44814955  0.03676332 -0.02923591
 -0.10565254 -0.04304736  0.06085774  0.00134418]"
193,"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products .",1,"[-0.12054979  0.08288477 -0.10505985  0.16044318 -0.19914085 -0.14805122
 -0.10527725 -0.15598643  0.08337392 -0.08315653 -0.01640031 -0.00217573
 -0.19881475 -0.09380926 -0.13359395  0.18435748  0.12000628 -0.09630939
  0.06848184 -0.05209512  0.09196133 -0.16413901  0.0852762  -0.16740007
  0.11174497 -0.00976953 -0.03220277 -0.08940685 -0.04342618  0.0810912
  0.1015814   0.07022106 -0.09223309  0.08973296  0.04617089  0.25523074
  0.03377894  0.05356259  0.12718057  0.11750615  0.09755945 -0.06277502
 -0.13055031 -0.01048289 -0.17305253  0.23349048  0.0273248   0.07554743
 -0.11554952 -0.19446669  0.01400889 -0.09293965 -0.05652469 -0.12087589
  0.05312778  0.27153595 -0.01981082  0.25631776  0.05902483  0.14533369
 -0.30327675 -0.03693128 -0.07054717  0.02629214]"
194,Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,2,"[ 0.0966385   0.23090618  0.03768617 -0.11368566  0.00106366 -0.0138615
 -0.06265824  0.27366658 -0.18632132 -0.07719678  0.09800684 -0.15040259
 -0.10017337  0.06220213 -0.0855208  -0.19544354 -0.13044774 -0.14264869
  0.08255608 -0.04284592 -0.1167644  -0.07725379 -0.10672996  0.03152867
 -0.00736192  0.0137546  -0.1656823   0.08312622  0.0296187   0.01999762
 -0.05310842  0.02329016 -0.06750442  0.09732268  0.13535093 -0.01134576
  0.14880619 -0.00594013  0.08284115  0.05476182  0.08107372  0.1977241
 -0.15941077  0.24470353  0.09966024 -0.17537466 -0.12429024 -0.05598762
 -0.00754721 -0.04350158  0.00808884 -0.02230668 -0.04330204 -0.12463232
  0.0966385   0.21551242  0.07394699  0.41916596 -0.06214512  0.05062831
 -0.06636414  0.14025412  0.22851159  0.00902244]"
195,Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .,1,"[ 1.80592343e-04  2.74003448e-02  4.28452493e-02 -1.10720371e-02
  4.54660225e-02 -6.31341675e-02 -7.53840763e-02  3.50535960e-01
 -1.29330813e-01 -1.99532240e-01  1.50179216e-01 -1.58306570e-01
 -2.93762340e-01 -1.40167271e-02 -1.54301784e-01  1.40285060e-01
 -4.56721510e-02 -9.55846544e-02  5.37406038e-02  3.94294058e-02
 -7.05547867e-02  2.62813625e-02 -1.41934087e-01  1.17846517e-01
  2.87254556e-02 -3.31507753e-04 -3.67202925e-02  4.59077277e-02
  3.72797836e-02 -3.28627462e-02 -9.72336820e-02 -8.45126150e-02
 -8.26280201e-02  7.90354918e-02  9.09909415e-02 -2.02005781e-02
  7.98011184e-02 -3.53834015e-01  5.69208706e-02  1.70909844e-01
  4.39053351e-02  2.06952845e-01 -1.93996211e-01  1.34042319e-01
  2.53685086e-02 -1.19201071e-01 -2.09661977e-02  3.37756001e-02
  1.00943994e-01 -1.48059044e-01  9.54079731e-03 -7.07314669e-02
 -3.18026581e-02 -1.02357445e-01 -2.19195406e-03  3.56602020e-02
  8.23335469e-02  3.91526062e-01  2.36458651e-02 -8.63972193e-02
  1.80730389e-03  9.04608916e-02  1.35220193e-01  5.21799164e-02]"
196,"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",2,"[-0.02365328  0.1423331   0.01022466  0.07990735  0.05291721 -0.13784459
 -0.18202102  0.1674924  -0.09998753 -0.08144289  0.15060142  0.05584064
 -0.14079756 -0.00442945 -0.13997073  0.04308382 -0.00665525  0.03614434
  0.12839509 -0.0586755  -0.16536626 -0.20387298 -0.08415962 -0.06957195
 -0.18969873 -0.02955922 -0.03260078  0.02927869  0.1309937   0.01728963
 -0.02465729 -0.02115802 -0.06957195  0.25915257 -0.06089022  0.16194081
  0.21296813 -0.16642934 -0.00789181  0.02418482  0.01928289  0.01257965
 -0.05817349  0.01226959 -0.00356202 -0.2398992  -0.09626679 -0.03865436
  0.06413849 -0.02610425 -0.32128301  0.05297626  0.02136473 -0.081561
  0.05031859 -0.00818711 -0.04978706  0.4394018  -0.0170534   0.27285434
  0.01305212  0.04391065  0.04137109  0.06260294]"
197,The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .,2,"[ 0.0546833  -0.00975823 -0.0045038   0.01149864  0.00647338  0.03284187
 -0.17409379  0.2304245  -0.22978679 -0.05601186  0.20693565 -0.07732187
  0.04607427 -0.07997898 -0.1610208  -0.0863029   0.04538342 -0.07163566
  0.00427795 -0.0999073   0.02874992 -0.09140455 -0.24742998  0.02209386
 -0.16346534 -0.00307893 -0.1077192  -0.00907403 -0.07248593  0.03414385
  0.02399369  0.11404312 -0.08019155  0.10197985  0.02290428  0.1339183
  0.14869183 -0.04307174  0.0101103   0.28909345  0.26443549  0.14762897
 -0.07312364  0.15783228  0.35413948 -0.06722486 -0.02819193  0.06913797
 -0.02560125 -0.04461286 -0.0148001   0.07179509  0.09464622  0.02085831
  0.0418229  -0.03334672 -0.06100722  0.32437987 -0.02695637  0.12360871
 -0.04070691  0.1603831   0.20289684  0.07009454]"
198,The effect of the savings will be noticeable as of the beginning of 2010 .,2,"[-1.77414175e-01 -3.70673948e-02 -2.34738421e-04  1.17356502e-01
 -1.17144282e-01 -4.79258777e-02  8.56387649e-03  3.32757661e-01
 -9.79739329e-02  1.64398139e-01  2.15471921e-01 -1.45298523e-01
  1.83214783e-01  4.00030745e-02 -1.18399905e-02 -9.05020940e-03
  4.23374716e-02 -5.81123350e-02 -3.72796121e-02  1.30301795e-01
 -5.06493379e-02 -3.11076090e-02 -2.09954248e-01 -2.00475174e-01
 -2.16886706e-01  3.59355654e-02 -8.82119055e-02  1.24218216e-01
 -3.92603106e-02  1.46854794e-01 -1.64256653e-01  9.23147931e-02
  6.55664882e-03  3.21333285e-02  3.77040466e-02  6.88647082e-02
  1.79394867e-01 -7.25785234e-02 -4.46541852e-03  4.17361889e-02
  3.32474722e-02  1.11697353e-01 -9.42247509e-02  1.42327477e-01
  7.37810934e-02  6.93598857e-02 -2.71921870e-01 -9.35880921e-02
 -6.52216360e-02 -2.79420234e-01  6.73084466e-02  2.67748254e-02
  6.35592646e-02  2.57093135e-03 -1.83922175e-01  6.86171217e-02
 -1.13890273e-01  4.17361889e-03  1.78793587e-02  2.63716114e-01
 -1.24218216e-01  1.73594241e-01  4.60866536e-02  5.17811696e-02]"
199,"When the product is manufactured in Finland , it is also packed in the country .",1,"[ 0.02069757  0.16423434 -0.09271836  0.10416092 -0.14505124 -0.06248533
  0.00588605 -0.02894294 -0.07370353 -0.15795216  0.00258544 -0.1098822
 -0.21359439 -0.10505838 -0.07353525  0.07420835  0.11509866 -0.09322318
  0.086941   -0.092494    0.08279026 -0.05502524  0.08727754 -0.05732497
  0.03749681 -0.03463617 -0.21213603  0.03253276  0.11947375 -0.05196828
 -0.02636275  0.03718831 -0.24365915  0.07375962  0.11279893  0.18622201
  0.16378561  0.28382029  0.23939624  0.16221508 -0.01355298  0.16255162
 -0.06528988  0.10432919 -0.19867419  0.09546682 -0.1222783  -0.02427336
 -0.0105451  -0.06646779  0.0204732  -0.17141398 -0.02165111 -0.08049053
 -0.10079546  0.10937738  0.02693769  0.33721886 -0.02930753  0.06439242
 -0.27327518 -0.02859237  0.08402427  0.12743867]"
200,"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",1,"[-0.06665382  0.00846474 -0.05201211 -0.06350415 -0.06988862  0.00895421
 -0.14965188 -0.01883417 -0.05784326 -0.10700364  0.07852893 -0.07912481
  0.05056497 -0.1688904  -0.09678849  0.2146883   0.0712932  -0.12683805
  0.07963557  0.03834936 -0.19374724 -0.0150567   0.01517375 -0.10172582
  0.23103252 -0.07776279  0.06303596  0.00304858 -0.11117483  0.02611246
  0.12002795  0.11492038 -0.02568683  0.08252986  0.0403711  -0.00107671
  0.105216    0.16225056  0.07725203  0.16114391  0.10368372  0.09576698
  0.12820007  0.16863502 -0.06133343  0.01966415 -0.11160046  0.03130516
  0.18966119 -0.34288836  0.20617567 -0.0517993  -0.11900644  0.02262229
 -0.15441894  0.04009444  0.07725203  0.29504743  0.11389887  0.13058361
 -0.31786126 -0.17553024  0.0055066   0.10623751]"
